Timestamp,Temperature,Humidity,,,
20241003030407,18,80,,,
20241003030408,18,80,,,
20241003030409,25,78,,,
20241003030410,33,76,,,
20241003030411,37,75,,,
20241003030412,38,75,,,
20241003030413,37,76,,,
20241003030414,38,74,,,
20241003030415,38,75,,,
20241003030416,39,75,,,
20241003030417,31,80,,,
20241003030418,20,80,,,
20241003030419,18,80,,,
20241003030420,18,80,,,
20241003030421,18,80,,,
20241003030422,19,81,,,
20241003030423,20,80,,,
20241003030424,18,80,,,
20241003030425,18,79,,,
20241003030426,18,78,,,
20241003030427,18,80,,,
20241003030428,18,80,,,
20241003030429,18,80,,,
20241003030430,25,78,,,
20241003030431,36,76,,,
20241003030432,36,75,,,
20241003030433,38,74,,,
20241003030434,37,76,,,
20241003030435,38,74,,,
20241003030436,38,75,,,
20241003030437,39,75,,,
20241003030438,31,80,,,
20241003030439,20,80,,,
20241003030440,18,80,,,
20241003030441,18,80,,,
20241003030442,18,80,,,
20241003030443,18,80,,,
20241003030444,18,80,,,
20241003030445,18,80,,,
20241003030446,19,81,,,
20241003030447,18,80,,,
20241003030448,18,80,,,
20241003030449,18,80,,,
20241003030450,18,80,,,
20241003030451,18,80,,,
20241003030452,18,80,,,
20241003030453,18,80,,,
20241003030454,19,81,,,
20241003030455,18,80,,,
20241003030456,18,80,,,
20241003030457,20,80,,,
20241003030458,18,80,,,
20241003030459,18,80,,,
20241003030460,18,80,,,
20241003030461,18,80,,,
20241003030462,19,81,,,
20241003030463,18,80,,,
20241003030464,18,80,,,
20241003030465,18,80,,,
20241003030466,18,80,,,
20241003030467,18,80,,,
20241003030468,18,80,,,
20241003030469,18,80,,,
20241003030470,19,81,,,
20241003030471,18,80,,,
20241003030472,18,80,,,
20241003030473,18,80,,,
20241003030474,20,80,,,
20241003030475,18,80,,,
20241003030476,18,80,,,
20241003030477,18,80,,,
20241003030478,19,81,,,
20241003030479,18,80,,,
20241003030480,18,80,,,
20241003030481,18,80,,,
20241003030482,18,80,,,
20241003030483,18,80,,,
20241003030484,18,80,,,
20241003030485,18,80,,,
20241003030486,19,81,,,
20241003030487,18,80,,,
20241003030488,18,80,,,
20241003030489,18,80,,,
20241003030490,18,80,,,
20241003030491,20,80,,,
20241003030492,18,80,,,
20241003030493,18,80,,,
20241003030494,19,81,,,
20241003030495,18,80,,,
20241003030496,18,80,,,
20241003030497,18,80,,,
20241003030498,18,80,,,
20241003030499,18,80,,,
20241003030500,18,80,,,
20241003030501,18,80,,,
20241003030502,19,81,,,
20241003030503,18,80,,,
20241003030504,18,80,,,
20241003030505,18,80,,,
20241003030506,18,80,,,
20241003030507,18,80,,,
20241003030508,20,80,,,
20241003030509,18,80,,,
20241003030510,19,81,,,
20241003030511,18,80,,,
20241003030512,18,80,,,
20241003030513,18,80,,,
20241003030514,18,80,,,
20241003030515,18,80,,,
20241003030516,18,80,,,
20241003030517,18,80,,,
20241003030518,19,81,,,
20241003030519,18,80,,,
20241003030520,18,80,,,
20241003030521,18,80,,,
20241003030522,18,80,,,
20241003030523,18,80,,,
20241003030524,18,80,,,
20241003030525,20,80,,,
20241003030526,19,81,,,
20241003030527,18,80,,,
20241003030528,18,80,,,
20241003030529,18,80,,,
20241003030530,18,80,,,
20241003030531,18,80,,,
20241003030532,18,80,,,
20241003030533,18,80,,,
20241003030534,19,81,,,
20241003030535,18,80,,,
20241003030536,18,80,,,
20241003030537,18,80,,,
20241003030538,18,80,,,
20241003030539,18,80,,,
20241003030540,18,80,,,
20241003030541,18,80,,,
20241003030542,19,81,,,
20241003030543,18,80,,,
20241003030544,18,80,,,
20241003030545,18,80,,,
20241003030546,18,80,,,
20241003030547,18,80,,,
20241003030548,18,80,,,
20241003030549,18,80,,,
20241003030550,19,81,,,
